current_time,weather,temp,humidity
2025-07-15 04:31:59,Clouds,26.02,75
2025-07-15 05:08:12,Clouds,23.97,73
2025-07-15 05:44:20,Clouds,25.41,67
2025-07-15 05:57:53,Clouds,25.41,67
2025-07-15 06:57:47,Clouds,24.74,72
2025-07-15 07:40:06,Clouds,24.79,67
2025-07-15 07:52:02,Clouds,24.79,67
2025-07-15 07:57:20,Clouds,24.79,67
2025-07-15 09:03:00,Clouds,26.76,74
2025-07-15 09:52:04,Clouds,26.76,69
2025-07-15 09:59:18,Clouds,26.76,69
2025-07-15 10:49:52,Clouds,24.06,75
2025-07-15 10:58:08,Clear,24.76,78
2025-07-15 11:32:11,Clouds,23.76,88
